# dataset: GeoCSV 2.0
# field_unit: ISO_8601, degC, #, %, #, #, inch H2O, in/hr, #, #, #, #, #, #, #, #, #, #, %, #
# field_type: datetime, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float
# attribution: cisl-chords.cloud.ucar.edu
# doi: https://doi.org/10.5065/d6v1236q
# doi_citation: https://citation.crosscite.org/?doi=10.5065/d6v1236q
# chords_version: 1.0.2
# chords_version_sha: a6def0f
# delimiter: ,
# instrument_name: NEON Test Site/RMNP
# sensor_id: neon000
# creation_date: 2024-06-13 15:32:48 +0000
# data collection site: NEON/RMNP
# data collection longitude: -105.542287491
# data collection latitude: 40.277041294
# data collection elevation: 2815.438 meters
# Measurements in File: 43442
# Units of Measure: milliseconds, degC, #, %, #, #, inch H2O, in/hr, #, #, #, #, #, #, #, #, #, #, %, #
Time,Temperature,UVAB,Humidity,Pressure,VOC (aggregate),Precipitation,Precipitation Rate,PM2.5,PM10,PM1.0, Particle Count (3um) , Particle Count (5um) ,Particle Count (10um) , Particle Count (25um) , Particle Count (50um) , Particle Count (100um) ,PM1.0 (environmental),PM2.5 (environmental),PM10 (environmental)
2024-01-30T00:01:13Z,,,,,,0,,,,,,,,,,,,,
2024-01-30T00:01:15Z,,,,,,,0,,,,,,,,,,,,
2024-01-30T00:06:52Z,-0.474871,,,,,,,,,,,,,,,,,,
2024-01-30T00:06:53Z,,,,73624,,,,,,,,,,,,,,,
2024-01-30T00:06:54Z,,,62.495811,,,,,,,,,,,,,,,,
2024-01-30T00:06:55Z,,,,,94452,,,,,,,,,,,,,,
2024-01-30T00:06:59Z,,,,,,,,0,,0,,,,,,,,,
2024-01-30T00:07:00Z,,,,,,,,,0,,,,,,,,,,
2024-01-30T00:07:01Z,,,,,,,,,,,,,,,,,0,,
2024-01-30T00:07:02Z,,,,,,,,,,,,,,,,,,0,
2024-01-30T00:07:03Z,,,,,,,,,,,30,,,,,,,,0
2024-01-30T00:07:04Z,,,,,,,,,,,,8,,,,,,,
2024-01-30T00:07:05Z,,,,,,,,,,,,,0,,,,,,
2024-01-30T00:07:06Z,,,,,,,,,,,,,,0,,,,,
2024-01-30T00:07:07Z,,,,,,,,,,,,,,,,0,,,
2024-01-30T00:08:16Z,,,,,,0,,,,,,,,,,,,,
2024-01-30T00:08:18Z,,,,,,,0,,,,,,,,,,,,
2024-01-30T00:14:00Z,-0.676936,,,,,,,,,,,,,,,,,,
2024-01-30T00:14:01Z,,,,73627,,,,,,,,,,,,,,,
2024-01-30T00:14:02Z,,,62.255779,,,,,,,,,,,,,,,,
2024-01-30T00:14:03Z,,,,,96181,,,,,,,,,,,,,,
2024-01-30T00:14:07Z,,,,,,,,0,,0,,,,,,,,,
2024-01-30T00:14:08Z,,,,,,,,,0,,,,,,,,,,
2024-01-30T00:14:09Z,,,,,,,,,,,,,,,,,0,,
2024-01-30T00:14:10Z,,,,,,,,,,,,,,,,,,0,0
2024-01-30T00:14:11Z,,,,,,,,,,,63,,,,,,,,
2024-01-30T00:14:12Z,,,,,,,,,,,,17,,,,,,,
2024-01-30T00:14:13Z,,,,,,,,,,,,,0,,,,,,
2024-01-30T00:14:14Z,,,,,,,,,,,,,,0,,,,,
2024-01-30T00:14:15Z,,,,,,,,,,,,,,,,0,,,
2024-01-30T00:15:19Z,,,,,,0,,,,,,,,,,,,,
2024-01-30T00:15:21Z,,,,,,,0,,,,,,,,,,,,
2024-01-30T00:21:08Z,-1.02365,,,,,,,,,,,,,,,,,,
2024-01-30T00:21:09Z,,,,73631,,,,,,,,,,,,,,,
2024-01-30T00:21:10Z,,,63.014435,,,,,,,,,,,,,,,,
2024-01-30T00:21:11Z,,,,,95525,,,,,,,,,,,,,,
2024-01-30T00:21:15Z,,,,,,,,0,,0,,,,,,,,,
2024-01-30T00:21:16Z,,,,,,,,,0,,,,,,,,,,
2024-01-30T00:21:17Z,,,,,,,,,,,,,,,,,0,,
2024-01-30T00:21:18Z,,,,,,,,,,,,,,,,,,0,
2024-01-30T00:21:19Z,,,,,,,,,,,24,,,,,,,,0
2024-01-30T00:21:20Z,,,,,,,,,,,,8,,,,,,,
2024-01-30T00:21:21Z,,,,,,,,,,,,,0,,,,,,
2024-01-30T00:21:22Z,,,,,,,,,,,,,,0,,,,,
2024-01-30T00:21:23Z,,,,,,,,,,,,,,,,0,,,
2024-01-30T00:28:16Z,-1.286936,,,,,,,,,,,,,,,,,,
2024-01-30T00:28:17Z,,,,73636,,,,,,,,,,,,,,,
2024-01-30T00:28:18Z,,,63.785225,,,,,,,,,,,,,,,,
2024-01-30T00:28:19Z,,,,,96181,,,,,,,,,,,,,,
2024-01-30T00:29:25Z,,,,,,0,,,,,,,,,,,,,
2024-01-30T00:29:28Z,,,,,,,0,,,,,,,,,,,,
2024-01-30T00:35:25Z,-1.439832,,,73646,,,,,,,,,,,,,,,
2024-01-30T00:35:26Z,,,64.22084,,,,,,,,,,,,,,,,
2024-01-30T00:35:27Z,,,,,95471,,,,,,,,,,,,,,
2024-01-30T00:35:31Z,,,,,,,,,,0,,,,,,,,,
2024-01-30T00:35:32Z,,,,,,,,0,,,,,,,,,,,
2024-01-30T00:35:33Z,,,,,,,,,0,,,,,,,,0,,
2024-01-30T00:35:34Z,,,,,,,,,,,,,,,,,,0,
2024-01-30T00:35:35Z,,,,,,,,,,,,,,,,,,,0
2024-01-30T00:35:36Z,,,,,,,,,,,36,10,,,,,,,
2024-01-30T00:35:37Z,,,,,,,,,,,,,0,,,,,,
2024-01-30T00:35:38Z,,,,,,,,,,,,,,0,,,,,
2024-01-30T00:35:39Z,,,,,,,,,,,,,,,,0,,,
2024-01-30T00:36:36Z,,,,,,0,,,,,,,,,,,,,
