# dataset: GeoCSV 2.0
# field_unit: ISO_8601, degC, #, %, #, #, inch H2O, in/hr, #, #, #, #, #, #, #, #, #, #, %, #
# field_type: datetime, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float
# attribution: cisl-chords.cloud.ucar.edu
# doi: https://doi.org/10.5065/d6v1236q
# doi_citation: https://citation.crosscite.org/?doi=10.5065/d6v1236q
# chords_version: 1.0.2
# chords_version_sha: a6def0f
# delimiter: ,
# instrument_name: NEON Test Site/RMNP
# sensor_id: neon000
# creation_date: 2024-06-13 15:32:33 +0000
# data collection site: NEON/RMNP
# data collection longitude: -105.542287491
# data collection latitude: 40.277041294
# data collection elevation: 2815.438 meters
# Measurements in File: 43619
# Units of Measure: milliseconds, degC, #, %, #, #, inch H2O, in/hr, #, #, #, #, #, #, #, #, #, #, %, #
Time,Temperature,UVAB,Humidity,Pressure,VOC (aggregate),Precipitation,Precipitation Rate,PM2.5,PM10,PM1.0, Particle Count (3um) , Particle Count (5um) ,Particle Count (10um) , Particle Count (25um) , Particle Count (50um) , Particle Count (100um) ,PM1.0 (environmental),PM2.5 (environmental),PM10 (environmental)
2023-11-07T00:00:44Z,9.314882,,,,,,,,,,,,,,,,,,
2023-11-07T00:00:45Z,,,,72703,,,,,,,,,,,,,,,
2023-11-07T00:00:46Z,,,29.149103,,,,,,,,,,,,,,,,
2023-11-07T00:00:47Z,,,,,222376,,,,,,,,,,,,,,
2023-11-07T00:00:51Z,,,,,,,,,,0,,,,,,,,,
2023-11-07T00:00:52Z,,,,,,,,0,0,,,,,,,,,,
2023-11-07T00:00:53Z,,,,,,,,,,,,,,,,,0,,
2023-11-07T00:00:54Z,,,,,,,,,,,,,,,,,,0,
2023-11-07T00:00:55Z,,,,,,,,,,,111,,,,,,,,0
2023-11-07T00:00:56Z,,,,,,,,,,,,33,,,,,,,
2023-11-07T00:00:57Z,,,,,,,,,,,,,6,,,,,,
2023-11-07T00:00:58Z,,,,,,,,,,,,,,0,,,,,
2023-11-07T00:01:00Z,,,,,,,,,,,,,,,,0,,,
2023-11-07T00:02:45Z,,,,,,0,,,,,,,,,,,,,
2023-11-07T00:02:47Z,,,,,,,0,,,,,,,,,,,,
2023-11-07T00:07:53Z,9.535369,,,72697,,,,,,,,,,,,,,,
2023-11-07T00:07:54Z,,,28.874819,,,,,,,,,,,,,,,,
2023-11-07T00:07:55Z,,,,,223882,,,,,,,,,,,,,,
2023-11-07T00:07:59Z,,,,,,,,,,0,,,,,,,,,
2023-11-07T00:08:00Z,,,,,,,,0,,,,,,,,,,,
2023-11-07T00:08:01Z,,,,,,,,,1,,,,,,,,0,,
2023-11-07T00:08:02Z,,,,,,,,,,,,,,,,,,0,
2023-11-07T00:08:03Z,,,,,,,,,,,,,,,,,,,1
2023-11-07T00:08:04Z,,,,,,,,,,,138,42,,,,,,,
2023-11-07T00:08:05Z,,,,,,,,,,,,,6,,,,,,
2023-11-07T00:08:06Z,,,,,,,,,,,,,,2,,,,,
2023-11-07T00:08:07Z,,,,,,,,,,,,,,,,2,,,
2023-11-07T00:09:49Z,,,,,,0,,,,,,,,,,,,,
2023-11-07T00:09:51Z,,,,,,,0,,,,,,,,,,,,
2023-11-07T00:15:01Z,9.277763,,,72692,,,,,,,,,,,,,,,
2023-11-07T00:15:02Z,,,29.649712,,,,,,,,,,,,,,,,
2023-11-07T00:15:03Z,,,,,204619,,,,,,,,,,,,,,
2023-11-07T00:15:07Z,,,,,,,,,,0,,,,,,,,,
2023-11-07T00:15:08Z,,,,,,,,0,,,,,,,,,,,
2023-11-07T00:15:09Z,,,,,,,,,0,,,,,,,,0,,
2023-11-07T00:15:10Z,,,,,,,,,,,,,,,,,,0,
2023-11-07T00:15:11Z,,,,,,,,,,,,,,,,,,,0
2023-11-07T00:15:12Z,,,,,,,,,,,78,22,,,,,,,
2023-11-07T00:15:13Z,,,,,,,,,,,,,0,,,,,,
2023-11-07T00:15:14Z,,,,,,,,,,,,,,0,,,,,
2023-11-07T00:15:15Z,,,,,,,,,,,,,,,,0,,,
2023-11-07T00:16:52Z,,,,,,0,,,,,,,,,,,,,
2023-11-07T00:16:54Z,,,,,,,0,,,,,,,,,,,,
2023-11-07T00:22:16Z,9.09376,,,,,,,,,,,,,,,,,,
2023-11-07T00:22:18Z,,,,72706,,,,,,,,,,,,,,,
2023-11-07T00:22:19Z,,,30.394636,,,,,,,,,,,,,,,,
2023-11-07T00:22:21Z,,,,,199917,,,,,,,,,,,,,,
2023-11-07T00:23:55Z,,,,,,0,,,,,,,,,,,,,
2023-11-07T00:23:57Z,,,,,,,0,,,,,,,,,,,,
2023-11-07T00:29:39Z,9.320592,,,72698,,,,,,,,,,,,,,,
2023-11-07T00:29:40Z,,,29.972565,,,,,,,,,,,,,,,,
2023-11-07T00:29:41Z,,,,,205255,,,,,,,,,,,,,,
2023-11-07T00:29:45Z,,,,,,,,,,0,,,,,,,,,
2023-11-07T00:29:46Z,,,,,,,,0,0,,,,,,,,,,
2023-11-07T00:29:47Z,,,,,,,,,,,,,,,,,0,,
2023-11-07T00:29:48Z,,,,,,,,,,,,,,,,,,0,
2023-11-07T00:29:49Z,,,,,,,,,,,,,,,,,,,0
2023-11-07T00:29:50Z,,,,,,,,,,,156,40,,,,,,,
2023-11-07T00:29:51Z,,,,,,,,,,,,,2,,,,,,
2023-11-07T00:29:52Z,,,,,,,,,,,,,,0,,,,,
2023-11-07T00:29:53Z,,,,,,,,,,,,,,,,0,,,
2023-11-07T00:31:00Z,,,,,,0,,,,,,,,,,,,,
2023-11-07T00:36:47Z,9.176561,,,,,,,,,,,,,,,,,,
