# dataset: GeoCSV 2.0
# field_unit: ISO_8601, degC, #, %, #, #, inch H2O, in/hr, #, #, #, #, #, #, #, #, #, #, %, #
# field_type: datetime, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float
# attribution: cisl-chords.cloud.ucar.edu
# doi: https://doi.org/10.5065/d6v1236q
# doi_citation: https://citation.crosscite.org/?doi=10.5065/d6v1236q
# chords_version: 1.0.2
# chords_version_sha: a6def0f
# delimiter: ,
# instrument_name: NEON Test Site/RMNP
# sensor_id: neon000
# creation_date: 2024-06-13 15:32:27 +0000
# data collection site: NEON/RMNP
# data collection longitude: -105.542287491
# data collection latitude: 40.277041294
# data collection elevation: 2815.438 meters
# Measurements in File: 41244
# Units of Measure: milliseconds, degC, #, %, #, #, inch H2O, in/hr, #, #, #, #, #, #, #, #, #, #, %, #
Time,Temperature,UVAB,Humidity,Pressure,VOC (aggregate),Precipitation,Precipitation Rate,PM2.5,PM10,PM1.0, Particle Count (3um) , Particle Count (5um) ,Particle Count (10um) , Particle Count (25um) , Particle Count (50um) , Particle Count (100um) ,PM1.0 (environmental),PM2.5 (environmental),PM10 (environmental)
2023-10-10T00:00:07Z,10.068349,,,,,,,,,,,,,,,,,,
2023-10-10T00:00:08Z,,,,72983,,,,,,,,,,,,,,,
2023-10-10T00:00:09Z,,,36.405781,,35990,,,,,,,,,,,,,,
2023-10-10T00:00:13Z,,,,,,,,,,0,,,,,,,,,
2023-10-10T00:00:14Z,,,,,,,,0,,,,,,,,,,,
2023-10-10T00:00:15Z,,,,,,,,,0,,,,,,,,,,
2023-10-10T00:00:16Z,,,,,,,,,,,,,,,,,0,,
2023-10-10T00:00:17Z,,,,,,,,,,,,,,,,,,0,0
2023-10-10T00:00:18Z,,,,,,,,,,,108,,,,,,,,
2023-10-10T00:00:19Z,,,,,,,,,,,,30,,,,,,,
2023-10-10T00:00:20Z,,,,,,,,,,,,,4,0,,,,,
2023-10-10T00:07:15Z,9.725401,,,,,,,,,,,,,,,,,,
2023-10-10T00:07:16Z,,,,72979,,,,,,,,,,,,,,,
2023-10-10T00:07:17Z,,,37.048653,,35355,,,,,,,,,,,,,,
2023-10-10T00:07:21Z,,,,,,,,,,0,,,,,,,,,
2023-10-10T00:07:22Z,,,,,,,,0,,,,,,,,,,,
2023-10-10T00:07:23Z,,,,,,,,,0,,,,,,,,,,
2023-10-10T00:07:24Z,,,,,,,,,,,,,,,,,0,,
2023-10-10T00:07:25Z,,,,,,,,,,,,,,,,,,0,
2023-10-10T00:07:33Z,,,,,,0,,,,,,,,,,,,,
2023-10-10T00:07:35Z,,,,,,,0,,,,,,,,,,,,
2023-10-10T00:14:23Z,9.240328,,,,,,,,,,,,,,,,,,
2023-10-10T00:14:24Z,,,,72982,,,,,,,,,,,,,,,
2023-10-10T00:14:25Z,,,39.028423,,,,,,,,,,,,,,,,
2023-10-10T00:14:26Z,,,,,33820,,,,,,,,,,,,,,
2023-10-10T00:14:30Z,,,,,,,,0,,0,,,,,,,,,
2023-10-10T00:14:37Z,,,,,,0,,,,,,,,,,,,,
2023-10-10T00:14:39Z,,,,,,,0,,,,,,,,,,,,
2023-10-10T00:16:50Z,9.126436,,,,,,,,,,,,,,,,,,
2023-10-10T00:16:51Z,,,,72983,,,,,,,,,,,,,,,
2023-10-10T00:16:52Z,,,39.299755,,,,,,,,,,,,,,,,
2023-10-10T00:16:53Z,,,,,36207,,,,,,,,,,,,,,
2023-10-10T00:16:57Z,,,,,,,,0,,0,,,,,,,,,
2023-10-10T00:16:58Z,,,,,,,,,0,,,,,,,,,,
2023-10-10T00:16:59Z,,,,,,,,,,,,,,,,,0,,
2023-10-10T00:17:00Z,,,,,,,,,,,,,,,,,,0,
2023-10-10T00:17:01Z,,,,,,,,,,,111,,,,,,,,0
2023-10-10T00:17:02Z,,,,,,,,,,,,33,,,,,,,
2023-10-10T00:17:03Z,,,,,,,,,,,,,0,,,,,,
2023-10-10T00:17:04Z,,,,,,,,,,,,,,0,,,,,
2023-10-10T00:17:05Z,,,,,,,,,,,,,,,,0,,,
2023-10-10T00:21:39Z,,,,,,0,,,,,,,,,,,,,
2023-10-10T00:21:42Z,,,,,,,0,,,,,,,,,,,,
2023-10-10T00:24:00Z,8.423419,,,72985,,,,,,,,,,,,,,,
2023-10-10T00:24:01Z,,,39.692261,,,,,,,,,,,,,,,,
2023-10-10T00:24:02Z,,,,,37565,,,,,,,,,,,,,,
2023-10-10T00:24:06Z,,,,,,,,,,0,,,,,,,,,
2023-10-10T00:28:43Z,,,,,,0,,,,,,,,,,,,,
2023-10-10T00:28:45Z,,,,,,,0,,,,,,,,,,,,
2023-10-10T00:31:08Z,7.904091,,,,,,,,,,,,,,,,,,
2023-10-10T00:31:09Z,,,40.880825,72985,,,,,,,,,,,,,,,
2023-10-10T00:31:10Z,,,,,36270,,,,,,,,,,,,,,
2023-10-10T00:31:14Z,,,,,,,,,,0,,,,,,,,,
2023-10-10T00:31:15Z,,,,,,,,0,,,,,,,,,,,
2023-10-10T00:31:16Z,,,,,,,,,0,,,,,,,,0,,
2023-10-10T00:31:17Z,,,,,,,,,,,,,,,,,,0,
2023-10-10T00:31:18Z,,,,,,,,,,,,,,,,,,,0
2023-10-10T00:31:19Z,,,,,,,,,,,189,,,,,,,,
2023-10-10T00:31:20Z,,,,,,,,,,,,49,2,,,,,,
2023-10-10T00:31:21Z,,,,,,,,,,,,,,0,,,,,
2023-10-10T00:31:23Z,,,,,,,,,,,,,,,,0,,,
2023-10-10T00:35:46Z,,,,,,0,,,,,,,,,,,,,
2023-10-10T00:35:48Z,,,,,,,0,,,,,,,,,,,,
2023-10-10T00:38:17Z,7.435524,,,,,,,,,,,,,,,,,,
2023-10-10T00:38:18Z,,,,72992,,,,,,,,,,,,,,,
2023-10-10T00:38:19Z,,,42.185898,,36364,,,,,,,,,,,,,,
2023-10-10T00:38:23Z,,,,,,,,,,1,,,,,,,,,
2023-10-10T00:38:24Z,,,,,,,,1,,,,,,,,,,,
2023-10-10T00:38:25Z,,,,,,,,,2,,,,,,,,,,
2023-10-10T00:38:26Z,,,,,,,,,,,,,,,,,1,1,
2023-10-10T00:38:27Z,,,,,,,,,,,,,,,,,,,2
2023-10-10T00:38:28Z,,,,,,,,,,,231,,,,,,,,
2023-10-10T00:38:29Z,,,,,,,,,,,,68,14,,,,,,
2023-10-10T00:38:30Z,,,,,,,,,,,,,,2,,,,,
2023-10-10T00:38:32Z,,,,,,,,,,,,,,,,0,,,
2023-10-10T00:42:49Z,,,,,,0,,,,,,,,,,,,,
2023-10-10T00:42:51Z,,,,,,,0,,,,,,,,,,,,
2023-10-10T00:45:25Z,6.915566,,,,,,,,,,,,,,,,,,
2023-10-10T00:45:26Z,,,,72996,,,,,,,,,,,,,,,
2023-10-10T00:45:27Z,,,43.20118,,36777,,,,,,,,,,,,,,
2023-10-10T00:45:31Z,,,,,,,,,,1,,,,,,,,,
2023-10-10T00:45:32Z,,,,,,,,1,,,,,,,,,,,
2023-10-10T00:45:33Z,,,,,,,,,2,,,,,,,,,,
2023-10-10T00:45:34Z,,,,,,,,,,,,,,,,,1,,
2023-10-10T00:45:35Z,,,,,,,,,,,,,,,,,,1,2
2023-10-10T00:45:36Z,,,,,,,,,,,252,,,,,,,,
2023-10-10T00:45:37Z,,,,,,,,,,,,72,,,,,,,
2023-10-10T00:45:38Z,,,,,,,,,,,,,8,2,,,,,
2023-10-10T00:45:40Z,,,,,,,,,,,,,,,,0,,,
2023-10-10T00:49:52Z,,,,,,0,,,,,,,,,,,,,
2023-10-10T00:49:54Z,,,,,,,0,,,,,,,,,,,,
2023-10-10T00:52:34Z,6.497762,,,,,,,,,,,,,,,,,,
2023-10-10T00:52:35Z,,,,72995,,,,,,,,,,,,,,,
2023-10-10T00:52:36Z,,,41.843037,,,,,,,,,,,,,,,,
2023-10-10T00:52:37Z,,,,,38423,,,,,,,,,,,,,,
2023-10-10T00:52:40Z,,,,,,,,,,0,,,,,,,,,
2023-10-10T00:52:41Z,,,,,,,,0,,,,,,,,,,,
2023-10-10T00:52:42Z,,,,,,,,,0,,,,,,,,,,
2023-10-10T00:52:43Z,,,,,,,,,,,,,,,,,0,,
2023-10-10T00:52:44Z,,,,,,,,,,,,,,,,,,0,0
2023-10-10T00:52:45Z,,,,,,,,,,,132,,,,,,,,
2023-10-10T00:52:46Z,,,,,,,,,,,,42,,,,,,,
2023-10-10T00:52:47Z,,,,,,,,,,,,,0,0,,,,,
2023-10-10T00:52:49Z,,,,,,,,,,,,,,,,0,,,
2023-10-10T00:59:43Z,6.284896,,,,,,,,,,,,,,,,,,
2023-10-10T00:59:44Z,,,,73001,,,,,,,,,,,,,,,
2023-10-10T00:59:45Z,,,42.07283,,,,,,,,,,,,,,,,
2023-10-10T00:59:46Z,,,,,40146,,,,,,,,,,,,,,
2023-10-10T00:59:50Z,,,,,,,,1,,1,,,,,,,,,
2023-10-10T00:59:51Z,,,,,,,,,1,,,,,,,,,,
2023-10-10T00:59:52Z,,,,,,,,,,,,,,,,,1,,
2023-10-10T00:59:53Z,,,,,,,,,,,,,,,,,,1,
2023-10-10T00:59:54Z,,,,,,,,,,,156,,,,,,,,1
2023-10-10T00:59:55Z,,,,,,,,,,,,52,,,,,,,
2023-10-10T00:59:56Z,,,,,,,,,,,,,6,,,,,,
2023-10-10T00:59:57Z,,,,,,,,,,,,,,0,,,,,
2023-10-10T00:59:58Z,,,,,,,,,,,,,,,,0,,,
2023-10-10T01:04:03Z,,,,,,0,,,,,,,,,,,,,
2023-10-10T01:04:06Z,,,,,,,0,,,,,,,,,,,,
2023-10-10T01:06:52Z,5.910874,,,,,,,,,,,,,,,,,,
2023-10-10T01:06:53Z,,,,72998,,,,,,,,,,,,,,,
2023-10-10T01:06:54Z,,,42.592968,,,,,,,,,,,,,,,,
2023-10-10T01:06:55Z,,,,,41288,,,,,,,,,,,,,,
2023-10-10T01:06:59Z,,,,,,,,0,,0,,,,,,,,,
2023-10-10T01:07:00Z,,,,,,,,,0,,,,,,,,,,
2023-10-10T01:07:01Z,,,,,,,,,,,,,,,,,0,,
2023-10-10T01:07:02Z,,,,,,,,,,,,,,,,,,0,
2023-10-10T01:07:03Z,,,,,,,,,,,132,,,,,,,,0
2023-10-10T01:07:04Z,,,,,,,,,,,,35,,,,,,,
2023-10-10T01:07:05Z,,,,,,,,,,,,,2,,,,,,
2023-10-10T01:07:06Z,,,,,,,,,,,,,,0,,,,,
2023-10-10T01:07:07Z,,,,,,,,,,,,,,,,0,,,
2023-10-10T01:11:07Z,,,,,,0,,,,,,,,,,,,,
2023-10-10T01:11:09Z,,,,,,,0,,,,,,,,,,,,
2023-10-10T01:14:01Z,5.469599,,,,,,,,,,,,,,,,,,
2023-10-10T01:14:02Z,,,,72997,,,,,,,,,,,,,,,
2023-10-10T01:14:03Z,,,43.408585,,,,,,,,,,,,,,,,
2023-10-10T01:14:04Z,,,,,41492,,,,,,,,,,,,,,
2023-10-10T01:14:07Z,,,,,,,,,,0,,,,,,,,,
2023-10-10T01:14:08Z,,,,,,,,0,,,,,,,,,,,
2023-10-10T01:14:09Z,,,,,,,,,0,,,,,,,,,,
2023-10-10T01:14:10Z,,,,,,,,,,,,,,,,,0,,
2023-10-10T01:14:11Z,,,,,,,,,,,,,,,,,,0,0
2023-10-10T01:14:12Z,,,,,,,,,,,207,,,,,,,,
2023-10-10T01:14:13Z,,,,,,,,,,,,60,,,,,,,
2023-10-10T01:14:14Z,,,,,,,,,,,,,0,0,,,,,
2023-10-10T01:14:16Z,,,,,,,,,,,,,,,,0,,,
2023-10-10T01:18:10Z,,,,,,0,,,,,,,,,,,,,
2023-10-10T01:18:12Z,,,,,,,0,,,,,,,,,,,,
2023-10-10T01:21:10Z,5.067029,,,,,,,,,,,,,,,,,,
2023-10-10T01:21:11Z,,,,72996,,,,,,,,,,,,,,,
2023-10-10T01:21:12Z,,,44.496773,,41905,,,,,,,,,,,,,,
2023-10-10T01:21:16Z,,,,,,,,,,1,,,,,,,,,
2023-10-10T01:21:17Z,,,,,,,,1,,,,,,,,,,,
2023-10-10T01:21:18Z,,,,,,,,,1,,,,,,,,,,
2023-10-10T01:21:19Z,,,,,,,,,,,,,,,,,1,,
2023-10-10T01:21:20Z,,,,,,,,,,,,,,,,,,1,1
2023-10-10T01:21:21Z,,,,,,,,,,,237,,,,,,,,
2023-10-10T01:21:22Z,,,,,,,,,,,,68,,,,,,,
2023-10-10T01:21:23Z,,,,,,,,,,,,,4,0,,,,,
2023-10-10T01:21:25Z,,,,,,,,,,,,,,,,0,,,
2023-10-10T01:25:13Z,,,,,,0,,,,,,,,,,,,,
2023-10-10T01:25:15Z,,,,,,,0,,,,,,,,,,,,
2023-10-10T01:28:25Z,4.633372,,,,,,,,,,,,,,,,,,
2023-10-10T01:28:26Z,,,,72993,,,,,,,,,,,,,,,
2023-10-10T01:28:27Z,,,46.448345,,,,,,,,,,,,,,,,
2023-10-10T01:28:28Z,,,,,42115,,,,,,,,,,,,,,
2023-10-10T01:28:32Z,,,,,,,,,,1,,,,,,,,,
2023-10-10T01:28:33Z,,,,,,,,1,1,,,,,,,,,,
2023-10-10T01:28:34Z,,,,,,,,,,,,,,,,,1,,
2023-10-10T01:28:35Z,,,,,,,,,,,,,,,,,,1,
2023-10-10T01:28:36Z,,,,,,,,,,,258,,,,,,,,1
2023-10-10T01:28:37Z,,,,,,,,,,,,77,,,,,,,
2023-10-10T01:28:38Z,,,,,,,,,,,,,2,,,,,,
2023-10-10T01:28:39Z,,,,,,,,,,,,,,0,,,,,
2023-10-10T01:28:40Z,,,,,,,,,,,,,,,,0,,,
2023-10-10T01:32:16Z,,,,,,0,,,,,,,,,,,,,
2023-10-10T01:32:18Z,,,,,,,0,,,,,,,,,,,,
2023-10-10T01:35:35Z,4.325658,,,72989,,,,,,,,,,,,,,,
2023-10-10T01:35:36Z,,,46.343628,,,,,,,,,,,,,,,,
2023-10-10T01:35:37Z,,,,,43464,,,,,,,,,,,,,,
2023-10-10T01:35:41Z,,,,,,,,,,1,,,,,,,,,
2023-10-10T01:35:42Z,,,,,,,,1,1,,,,,,,,,,
2023-10-10T01:35:43Z,,,,,,,,,,,,,,,,,1,,
2023-10-10T01:35:44Z,,,,,,,,,,,,,,,,,,1,
2023-10-10T01:35:45Z,,,,,,,,,,,246,,,,,,,,1
2023-10-10T01:35:46Z,,,,,,,,,,,,73,,,,,,,
2023-10-10T01:35:47Z,,,,,,,,,,,,,6,,,,,,
2023-10-10T01:35:48Z,,,,,,,,,,,,,,0,,,,,
2023-10-10T01:35:49Z,,,,,,,,,,,,,,,,0,,,
2023-10-10T01:42:44Z,4.726955,,,72987,,,,,,,,,,,,,,,
2023-10-10T01:42:45Z,,,42.179993,,,,,,,,,,,,,,,,
2023-10-10T01:42:46Z,,,,,48194,,,,,,,,,,,,,,
2023-10-10T01:42:50Z,,,,,,,,,,0,,,,,,,,,
2023-10-10T01:42:51Z,,,,,,,,0,0,,,,,,,,,,
2023-10-10T01:42:52Z,,,,,,,,,,,,,,,,,0,,
2023-10-10T01:42:53Z,,,,,,,,,,,,,,,,,,0,
2023-10-10T01:42:54Z,,,,,,,,,,,,,,,,,,,0
2023-10-10T01:42:55Z,,,,,,,,,,,198,57,,,,,,,
2023-10-10T01:42:56Z,,,,,,,,,,,,,2,,,,,,
2023-10-10T01:42:57Z,,,,,,,,,,,,,,0,,,,,
2023-10-10T01:42:59Z,,,,,,,,,,,,,,,,0,,,
2023-10-10T01:46:32Z,,,,,,0,,,,,,,,,,,,,
2023-10-10T01:46:34Z,,,,,,,0,,,,,,,,,,,,
2023-10-10T01:49:54Z,4.955363,,,,,,,,,,,,,,,,,,
2023-10-10T01:49:55Z,,,43.69202,72989,,,,,,,,,,,,,,,
2023-10-10T01:49:56Z,,,,,48895,,,,,,,,,,,,,,
2023-10-10T01:52:21Z,4.860193,,,,,,,,,,,,,,,,,,
2023-10-10T01:52:22Z,,,45.374538,72989,,,,,,,,,,,,,,,
2023-10-10T01:52:23Z,,,,,50059,,,,,,,,,,,,,,
2023-10-10T01:52:27Z,,,,,,,,,,1,,,,,,,,,
2023-10-10T01:52:28Z,,,,,,,,1,,,,,,,,,,,
2023-10-10T01:52:29Z,,,,,,,,,1,,,,,,,,1,,
2023-10-10T01:52:30Z,,,,,,,,,,,,,,,,,,1,
2023-10-10T01:52:31Z,,,,,,,,,,,,,,,,,,,1
2023-10-10T01:52:32Z,,,,,,,,,,,276,,,,,,,,
2023-10-10T01:52:33Z,,,,,,,,,,,,76,2,,,,,,
2023-10-10T01:52:34Z,,,,,,,,,,,,,,0,,,,,
2023-10-10T01:52:36Z,,,,,,,,,,,,,,,,0,,,
