# dataset: GeoCSV 2.0
# field_unit: ISO_8601, degC, #, %, #, #, inch H2O, in/hr, #, #, #, #, #, #, #, #, #, #, %, #
# field_type: datetime, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float
# attribution: cisl-chords.cloud.ucar.edu
# doi: https://doi.org/10.5065/d6v1236q
# doi_citation: https://citation.crosscite.org/?doi=10.5065/d6v1236q
# chords_version: 1.0.2
# chords_version_sha: a6def0f
# delimiter: ,
# instrument_name: NEON Test Site/RMNP
# sensor_id: neon000
# creation_date: 2024-06-13 15:32:45 +0000
# data collection site: NEON/RMNP
# data collection longitude: -105.542287491
# data collection latitude: 40.277041294
# data collection elevation: 2815.438 meters
# Measurements in File: 42015
# Units of Measure: milliseconds, degC, #, %, #, #, inch H2O, in/hr, #, #, #, #, #, #, #, #, #, #, %, #
Time,Temperature,UVAB,Humidity,Pressure,VOC (aggregate),Precipitation,Precipitation Rate,PM2.5,PM10,PM1.0, Particle Count (3um) , Particle Count (5um) ,Particle Count (10um) , Particle Count (25um) , Particle Count (50um) , Particle Count (100um) ,PM1.0 (environmental),PM2.5 (environmental),PM10 (environmental)
2024-01-16T00:03:03Z,-18.000881,,,72146,,,,,,,,,,,,,,,
2024-01-16T00:03:04Z,,,42.525982,,,,,,,,,,,,,,,,
2024-01-16T00:03:05Z,,,,,7836853,,,,,,,,,,,,,,
2024-01-16T00:03:09Z,,,,,,,,,,0,,,,,,,,,
2024-01-16T00:03:10Z,,,,,,,,0,0,,,,,,,,,,
2024-01-16T00:03:11Z,,,,,,,,,,,,,,,,,0,,
2024-01-16T00:03:12Z,,,,,,,,,,,,,,,,,,0,
2024-01-16T00:03:13Z,,,,,,,,,,,18,,,,,,,,0
2024-01-16T00:03:14Z,,,,,,,,,,,,6,,,,,,,
2024-01-16T00:03:15Z,,,,,,,,,,,,,0,,,,,,
2024-01-16T00:03:16Z,,,,,,,,,,,,,,0,,,,,
2024-01-16T00:03:17Z,,,,,,,,,,,,,,,,0,,,
2024-01-16T00:06:15Z,,,,,,0,,,,,,,,,,,,,
2024-01-16T00:06:18Z,,,,,,,0,,,,,,,,,,,,
2024-01-16T00:10:10Z,-18.088099,,,,,,,,,,,,,,,,,,
2024-01-16T00:10:11Z,,,,72140,,,,,,,,,,,,,,,
2024-01-16T00:10:12Z,,,42.060547,,,,,,,,,,,,,,,,
2024-01-16T00:10:13Z,,,,,8133031,,,,,,,,,,,,,,
2024-01-16T00:10:17Z,,,,,,,,0,,0,,,,,,,,,
2024-01-16T00:10:18Z,,,,,,,,,0,,,,,,,,,,
2024-01-16T00:10:19Z,,,,,,,,,,,,,,,,,0,,
2024-01-16T00:10:20Z,,,,,,,,,,,,,,,,,,0,
2024-01-16T00:10:21Z,,,,,,,,,,,,,,,,,,,0
2024-01-16T00:10:22Z,,,,,,,,,,,63,15,,,,,,,
2024-01-16T00:10:23Z,,,,,,,,,,,,,2,,,,,,
2024-01-16T00:10:24Z,,,,,,,,,,,,,,0,,,,,
2024-01-16T00:10:25Z,,,,,,,,,,,,,,,,0,,,
2024-01-16T00:13:26Z,,,,,,0,,,,,,,,,,,,,
2024-01-16T00:13:31Z,,,,,,,0,,,,,,,,,,,,
2024-01-16T00:17:19Z,-18.116323,,,,,,,,,,,,,,,,,,
2024-01-16T00:17:20Z,,,42.094753,72138,,,,,,,,,,,,,,,
2024-01-16T00:17:21Z,,,,,8139183,,,,,,,,,,,,,,
2024-01-16T00:17:25Z,,,,,,,,,,0,,,,,,,,,
2024-01-16T00:17:26Z,,,,,,,,0,,,,,,,,,,,
2024-01-16T00:17:27Z,,,,,,,,,0,,,,,,,,0,,
2024-01-16T00:17:28Z,,,,,,,,,,,,,,,,,,0,
2024-01-16T00:17:29Z,,,,,,,,,,,,,,,,,,,0
2024-01-16T00:17:30Z,,,,,,,,,,,57,17,,,,,,,
2024-01-16T00:17:31Z,,,,,,,,,,,,,0,,,,,,
2024-01-16T00:17:32Z,,,,,,,,,,,,,,0,,,,,
2024-01-16T00:17:34Z,,,,,,,,,,,,,,,,0,,,
2024-01-16T00:20:31Z,,,,,,0,,,,,,,,,,,,,
2024-01-16T00:20:34Z,,,,,,,0,,,,,,,,,,,,
2024-01-16T00:24:27Z,-18.391613,,,,,,,,,,,,,,,,,,
2024-01-16T00:24:28Z,,,42.090927,72140,,,,,,,,,,,,,,,
