# dataset: GeoCSV 2.0
# field_unit: ISO_8601, degC, #, %, #, #, inch H2O, in/hr, #, #, #, #, #, #, #, #, #, #, %, #
# field_type: datetime, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float
# attribution: cisl-chords.cloud.ucar.edu
# doi: https://doi.org/10.5065/d6v1236q
# doi_citation: https://citation.crosscite.org/?doi=10.5065/d6v1236q
# chords_version: 1.0.2
# chords_version_sha: a6def0f
# delimiter: ,
# instrument_name: NEON Test Site/RMNP
# sensor_id: neon000
# creation_date: 2024-06-13 15:32:39 +0000
# data collection site: NEON/RMNP
# data collection longitude: -105.542287491
# data collection latitude: 40.277041294
# data collection elevation: 2815.438 meters
# Measurements in File: 42663
# Units of Measure: milliseconds, degC, #, %, #, #, inch H2O, in/hr, #, #, #, #, #, #, #, #, #, #, %, #
Time,Temperature,UVAB,Humidity,Pressure,VOC (aggregate),Precipitation,Precipitation Rate,PM2.5,PM10,PM1.0, Particle Count (3um) , Particle Count (5um) ,Particle Count (10um) , Particle Count (25um) , Particle Count (50um) , Particle Count (100um) ,PM1.0 (environmental),PM2.5 (environmental),PM10 (environmental)
2023-12-19T00:04:55Z,5.380139,,,72933,,,,,,,,,,,,,,,
2023-12-19T00:04:56Z,,,17.968277,,,,,,,,,,,,,,,,
2023-12-19T00:04:57Z,,,,,2337098,,,,,,,,,,,,,,
2023-12-19T00:05:01Z,,,,,,,,,,0,,,,,,,,,
2023-12-19T00:05:02Z,,,,,,,,0,,,,,,,,,,,
2023-12-19T00:05:03Z,,,,,,,,,0,,,,,,,,0,,
2023-12-19T00:05:04Z,,,,,,,,,,,,,,,,,,0,
2023-12-19T00:05:05Z,,,,,,,,,,,,,,,,,,,0
2023-12-19T00:05:06Z,,,,,,,,,,,6,2,,,,,,,
2023-12-19T00:05:07Z,,,,,,,,,,,,,0,,,,,,
2023-12-19T00:05:08Z,,,,,,,,,,,,,,0,,,,,
2023-12-19T00:05:09Z,,,,,,,,,,,,,,,,0,,,
2023-12-19T00:05:43Z,,,,,,0,,,,,,,,,,,,,
2023-12-19T00:05:46Z,,,,,,,0,,,,,,,,,,,,
2023-12-19T00:12:03Z,5.247852,,,72922,,,,,,,,,,,,,,,
2023-12-19T00:12:04Z,,,18.407185,,,,,,,,,,,,,,,,
2023-12-19T00:12:05Z,,,,,2384751,,,,,,,,,,,,,,
2023-12-19T00:12:09Z,,,,,,,,,,0,,,,,,,,,
2023-12-19T00:12:10Z,,,,,,,,0,0,,,,,,,,,,
2023-12-19T00:12:11Z,,,,,,,,,,,,,,,,,0,,
2023-12-19T00:12:12Z,,,,,,,,,,,,,,,,,,0,
2023-12-19T00:12:13Z,,,,,,,,,,,,,,,,,,,0
2023-12-19T00:12:14Z,,,,,,,,,,,0,0,,,,,,,
2023-12-19T00:12:15Z,,,,,,,,,,,,,0,,,,,,
2023-12-19T00:12:16Z,,,,,,,,,,,,,,0,,,,,
2023-12-19T00:12:17Z,,,,,,,,,,,,,,,,0,,,
2023-12-19T00:12:46Z,,,,,,0,,,,,,,,,,,,,
2023-12-19T00:12:49Z,,,,,,,0,,,,,,,,,,,,
2023-12-19T00:19:11Z,5.182819,,,,,,,,,,,,,,,,,,
2023-12-19T00:19:12Z,,,,72918,,,,,,,,,,,,,,,
2023-12-19T00:19:13Z,,,17.772905,,2571701,,,,,,,,,,,,,,
2023-12-19T00:19:17Z,,,,,,,,,,0,,,,,,,,,
2023-12-19T00:19:18Z,,,,,,,,0,,,,,,,,,,,
2023-12-19T00:19:49Z,,,,,,0,,,,,,,,,,,,,
2023-12-19T00:19:51Z,,,,,,,0,,,,,,,,,,,,
2023-12-19T00:26:19Z,5.115566,,,,,,,,,,,,,,,,,,
2023-12-19T00:26:20Z,,,,72909,,,,,,,,,,,,,,,
2023-12-19T00:26:21Z,,,18.568354,,2663366,,,,,,,,,,,,,,
2023-12-19T00:26:25Z,,,,,,,,,,0,,,,,,,,,
2023-12-19T00:26:26Z,,,,,,,,0,,,,,,,,,,,
2023-12-19T00:26:27Z,,,,,,,,,0,,,,,,,,,,
2023-12-19T00:26:28Z,,,,,,,,,,,,,,,,,0,0,
2023-12-19T00:26:29Z,,,,,,,,,,,,,,,,,,,0
2023-12-19T00:26:30Z,,,,,,,,,,,0,,,,,,,,
2023-12-19T00:26:31Z,,,,,,,,,,,,0,,,,,,,
2023-12-19T00:26:32Z,,,,,,,,,,,,,0,0,,,,,
2023-12-19T00:26:34Z,,,,,,,,,,,,,,,,0,,,
2023-12-19T00:26:53Z,,,,,,0,,,,,,,,,,,,,
2023-12-19T00:26:55Z,,,,,,,0,,,,,,,,,,,,
2023-12-19T00:33:28Z,4.943943,,,,,,,,,,,,,,,,,,
2023-12-19T00:33:29Z,,,,72909,,,,,,,,,,,,,,,
2023-12-19T00:33:30Z,,,18.195955,,2554605,,,,,,,,,,,,,,
2023-12-19T00:33:34Z,,,,,,,,,,0,,,,,,,,,
2023-12-19T00:33:35Z,,,,,,,,0,,,,,,,,,,,
2023-12-19T00:33:36Z,,,,,,,,,0,,,,,,,,,,
2023-12-19T00:33:37Z,,,,,,,,,,,,,,,,,0,0,
2023-12-19T00:33:38Z,,,,,,,,,,,,,,,,,,,0
2023-12-19T00:33:39Z,,,,,,,,,,,0,,,,,,,,
2023-12-19T00:33:40Z,,,,,,,,,,,,0,,,,,,,
2023-12-19T00:33:41Z,,,,,,,,,,,,,0,0,,,,,
2023-12-19T00:33:43Z,,,,,,,,,,,,,,,,0,,,
2023-12-19T00:33:55Z,,,,,,0,,,,,,,,,,,,,
2023-12-19T00:33:58Z,,,,,,,0,,,,,,,,,,,,
2023-12-19T00:40:37Z,5.16442,,,,,,,,,,,,,,,,,,
2023-12-19T00:40:38Z,,,,72910,,,,,,,,,,,,,,,
2023-12-19T00:40:39Z,,,17.923244,,2825630,,,,,,,,,,,,,,
2023-12-19T00:40:43Z,,,,,,,,,,0,,,,,,,,,
2023-12-19T00:40:44Z,,,,,,,,0,,,,,,,,,,,
2023-12-19T00:40:45Z,,,,,,,,,0,,,,,,,,,,
2023-12-19T00:40:46Z,,,,,,,,,,,,,,,,,0,,
2023-12-19T00:40:47Z,,,,,,,,,,,,,,,,,,0,0
2023-12-19T00:40:48Z,,,,,,,,,,,0,,,,,,,,
2023-12-19T00:40:49Z,,,,,,,,,,,,0,,,,,,,
2023-12-19T00:40:50Z,,,,,,,,,,,,,0,0,,,,,
2023-12-19T00:40:52Z,,,,,,,,,,,,,,,,0,,,
2023-12-19T00:40:59Z,,,,,,0,,,,,,,,,,,,,
2023-12-19T00:41:01Z,,,,,,,0,,,,,,,,,,,,
2023-12-19T00:47:46Z,4.927129,,,,,,,,,,,,,,,,,,
2023-12-19T00:47:47Z,,,,72911,,,,,,,,,,,,,,,
2023-12-19T00:47:48Z,,,19.394367,,,,,,,,,,,,,,,,
2023-12-19T00:47:49Z,,,,,2647637,,,,,,,,,,,,,,
2023-12-19T00:47:53Z,,,,,,,,0,,0,,,,,,,,,
2023-12-19T00:47:54Z,,,,,,,,,0,,,,,,,,,,
2023-12-19T00:47:55Z,,,,,,,,,,,,,,,,,0,,
2023-12-19T00:47:56Z,,,,,,,,,,,,,,,,,,0,
2023-12-19T00:48:08Z,,,,,,0,,,,,,,,,,,,,
2023-12-19T00:48:10Z,,,,,,,0,,,,,,,,,,,,
2023-12-19T00:50:14Z,4.790402,,,72908,,,,,,,,,,,,,,,
2023-12-19T00:50:15Z,,,20.110405,,,,,,,,,,,,,,,,
2023-12-19T00:50:16Z,,,,,1952104,,,,,,,,,,,,,,
2023-12-19T00:50:20Z,,,,,,,,,,0,,,,,,,,,
2023-12-19T00:50:21Z,,,,,,,,0,0,,,,,,,,,,
2023-12-19T00:50:22Z,,,,,,,,,,,,,,,,,0,,
2023-12-19T00:50:23Z,,,,,,,,,,,,,,,,,,0,
2023-12-19T00:50:24Z,,,,,,,,,,,,,,,,,,,0
2023-12-19T00:50:25Z,,,,,,,,,,,6,2,,,,,,,
2023-12-19T00:50:26Z,,,,,,,,,,,,,0,,,,,,
2023-12-19T00:50:27Z,,,,,,,,,,,,,,0,,,,,
2023-12-19T00:50:28Z,,,,,,,,,,,,,,,,0,,,
2023-12-19T00:55:11Z,,,,,,0,,,,,,,,,,,,,
2023-12-19T00:55:14Z,,,,,,,0,,,,,,,,,,,,
2023-12-19T00:57:23Z,4.166091,,,,,,,,,,,,,,,,,,
2023-12-19T00:57:24Z,,,23.695507,72905,,,,,,,,,,,,,,,
2023-12-19T00:57:25Z,,,,,2436594,,,,,,,,,,,,,,
2023-12-19T00:57:29Z,,,,,,,,,,0,,,,,,,,,
2023-12-19T00:57:30Z,,,,,,,,0,,,,,,,,,,,
2023-12-19T00:57:31Z,,,,,,,,,0,,,,,,,,0,,
2023-12-19T00:57:32Z,,,,,,,,,,,,,,,,,,0,
2023-12-19T00:57:33Z,,,,,,,,,,,,,,,,,,,0
2023-12-19T00:57:34Z,,,,,,,,,,,0,,,,,,,,
2023-12-19T00:57:35Z,,,,,,,,,,,,0,0,,,,,,
2023-12-19T00:57:36Z,,,,,,,,,,,,,,0,,,,,
2023-12-19T00:57:38Z,,,,,,,,,,,,,,,,0,,,
2023-12-19T01:02:15Z,,,,,,0,,,,,,,,,,,,,
2023-12-19T01:02:17Z,,,,,,,0,,,,,,,,,,,,
2023-12-19T01:04:32Z,3.963381,,,,,,,,,,,,,,,,,,
2023-12-19T01:04:33Z,,,,72917,,,,,,,,,,,,,,,
2023-12-19T01:04:34Z,,,23.202923,,2345248,,,,,,,,,,,,,,
2023-12-19T01:04:38Z,,,,,,,,,,0,,,,,,,,,
2023-12-19T01:04:39Z,,,,,,,,0,,,,,,,,,,,
2023-12-19T01:04:40Z,,,,,,,,,0,,,,,,,,,,
2023-12-19T01:04:41Z,,,,,,,,,,,,,,,,,0,0,
2023-12-19T01:04:42Z,,,,,,,,,,,,,,,,,,,0
2023-12-19T01:04:43Z,,,,,,,,,,,6,,,,,,,,
2023-12-19T01:04:44Z,,,,,,,,,,,,0,,,,,,,
2023-12-19T01:04:45Z,,,,,,,,,,,,,0,0,,,,,
2023-12-19T01:04:47Z,,,,,,,,,,,,,,,,0,,,
2023-12-19T01:09:18Z,,,,,,0,,,,,,,,,,,,,
2023-12-19T01:09:20Z,,,,,,,0,,,,,,,,,,,,
2023-12-19T01:11:41Z,3.880584,,,,,,,,,,,,,,,,,,
2023-12-19T01:11:42Z,,,,72935,,,,,,,,,,,,,,,
2023-12-19T01:11:43Z,,,20.672913,,2544938,,,,,,,,,,,,,,
2023-12-19T01:11:47Z,,,,,,,,,,0,,,,,,,,,
2023-12-19T01:11:48Z,,,,,,,,0,,,,,,,,,,,
2023-12-19T01:11:49Z,,,,,,,,,0,,,,,,,,,,
2023-12-19T01:11:50Z,,,,,,,,,,,,,,,,,0,,
2023-12-19T01:11:51Z,,,,,,,,,,,,,,,,,,0,0
2023-12-19T01:11:52Z,,,,,,,,,,,6,,,,,,,,
2023-12-19T01:11:53Z,,,,,,,,,,,,0,,,,,,,
2023-12-19T01:11:54Z,,,,,,,,,,,,,0,0,,,,,
2023-12-19T01:11:56Z,,,,,,,,,,,,,,,,0,,,
2023-12-19T01:16:21Z,,,,,,0,,,,,,,,,,,,,
2023-12-19T01:16:23Z,,,,,,,0,,,,,,,,,,,,
2023-12-19T01:18:50Z,3.424409,,,,,,,,,,,,,,,,,,
2023-12-19T01:18:51Z,,,,72934,,,,,,,,,,,,,,,
2023-12-19T01:18:52Z,,,27.970009,,,,,,,,,,,,,,,,
2023-12-19T01:18:53Z,,,,,2083655,,,,,,,,,,,,,,
2023-12-19T01:18:57Z,,,,,,,,0,,0,,,,,,,,,
2023-12-19T01:18:58Z,,,,,,,,,0,,,,,,,,,,
2023-12-19T01:18:59Z,,,,,,,,,,,,,,,,,0,,
2023-12-19T01:19:00Z,,,,,,,,,,,,,,,,,,0,0
2023-12-19T01:19:01Z,,,,,,,,,,,0,,,,,,,,
2023-12-19T01:19:02Z,,,,,,,,,,,,0,,,,,,,
2023-12-19T01:19:03Z,,,,,,,,,,,,,0,,,,,,
2023-12-19T01:19:04Z,,,,,,,,,,,,,,0,,,,,
2023-12-19T01:19:05Z,,,,,,,,,,,,,,,,0,,,
2023-12-19T01:23:25Z,,,,,,0,,,,,,,,,,,,,
2023-12-19T01:23:27Z,,,,,,,0,,,,,,,,,,,,
2023-12-19T01:26:10Z,2.201822,,,,,,,,,,,,,,,,,,
2023-12-19T01:26:12Z,,,,72936,,,,,,,,,,,,,,,
2023-12-19T01:26:13Z,,,27.558979,,,,,,,,,,,,,,,,
2023-12-19T01:26:15Z,,,,,1492785,,,,,,,,,,,,,,
2023-12-19T01:26:21Z,,,,,,,,,,0,,,,,,,,,
2023-12-19T01:26:23Z,,,,,,,,0,,,,,,,,,,,
2023-12-19T01:26:25Z,,,,,,,,,0,,,,,,,,,,
2023-12-19T01:26:27Z,,,,,,,,,,,,,,,,,0,,
2023-12-19T01:26:28Z,,,,,,,,,,,,,,,,,,0,
2023-12-19T01:26:30Z,,,,,,,,,,,,,,,,,,,0
2023-12-19T01:30:26Z,,,,,,0,,,,,,,,,,,,,
2023-12-19T01:30:29Z,,,,,,,0,,,,,,,,,,,,
2023-12-19T01:33:34Z,2.890834,,,,,,,,,,,,,,,,,,
2023-12-19T01:33:35Z,,,,72916,,,,,,,,,,,,,,,
2023-12-19T01:33:36Z,,,20.089443,,,,,,,,,,,,,,,,
