# dataset: GeoCSV 2.0
# field_unit: ISO_8601, degC, #, %, #, #, inch H2O, in/hr, #, #, #, #, #, #, #, #, #, #, %, #
# field_type: datetime, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float
# attribution: cisl-chords.cloud.ucar.edu
# doi: https://doi.org/10.5065/d6v1236q
# doi_citation: https://citation.crosscite.org/?doi=10.5065/d6v1236q
# chords_version: 1.0.2
# chords_version_sha: a6def0f
# delimiter: ,
# instrument_name: NEON Test Site/RMNP
# sensor_id: neon000
# creation_date: 2024-06-13 15:32:37 +0000
# data collection site: NEON/RMNP
# data collection longitude: -105.542287491
# data collection latitude: 40.277041294
# data collection elevation: 2815.438 meters
# Measurements in File: 43880
# Units of Measure: milliseconds, degC, #, %, #, #, inch H2O, in/hr, #, #, #, #, #, #, #, #, #, #, %, #
Time,Temperature,UVAB,Humidity,Pressure,VOC (aggregate),Precipitation,Precipitation Rate,PM2.5,PM10,PM1.0, Particle Count (3um) , Particle Count (5um) ,Particle Count (10um) , Particle Count (25um) , Particle Count (50um) , Particle Count (100um) ,PM1.0 (environmental),PM2.5 (environmental),PM10 (environmental)
2023-12-05T00:01:02Z,0.97481,,,73135,,,,,,,,,,,,,,,
2023-12-05T00:01:03Z,,,51.244587,,,,,,,,,,,,,,,,
2023-12-05T00:01:04Z,,,,,489670,,,,,,,,,,,,,,
2023-12-05T00:01:08Z,,,,,,,,,,0,,,,,,,,,
2023-12-05T00:01:09Z,,,,,,,,0,0,,,,,,,,,,
2023-12-05T00:01:10Z,,,,,,,,,,,,,,,,,0,,
2023-12-05T00:01:11Z,,,,,,,,,,,,,,,,,,0,
2023-12-05T00:01:12Z,,,,,,,,,,,6,,,,,,,,0
2023-12-05T00:01:13Z,,,,,,,,,,,,2,,,,,,,
2023-12-05T00:01:14Z,,,,,,,,,,,,,0,,,,,,
2023-12-05T00:01:15Z,,,,,,,,,,,,,,0,,,,,
2023-12-05T00:01:16Z,,,,,,,,,,,,,,,,0,,,
2023-12-05T00:04:01Z,,,,,,0,,,,,,,,,,,,,
2023-12-05T00:04:04Z,,,,,,,0,,,,,,,,,,,,
2023-12-05T00:08:10Z,0.992257,,,73151,,,,,,,,,,,,,,,
2023-12-05T00:08:11Z,,,51.489929,,,,,,,,,,,,,,,,
2023-12-05T00:08:12Z,,,,,505894,,,,,,,,,,,,,,
2023-12-05T00:08:16Z,,,,,,,,,,0,,,,,,,,,
2023-12-05T00:08:17Z,,,,,,,,0,0,,,,,,,,,,
2023-12-05T00:08:18Z,,,,,,,,,,,,,,,,,0,,
2023-12-05T00:08:19Z,,,,,,,,,,,,,,,,,,0,
2023-12-05T00:08:20Z,,,,,,,,,,,,,,,,,,,0
2023-12-05T00:08:21Z,,,,,,,,,,,33,9,,,,,,,
2023-12-05T00:08:22Z,,,,,,,,,,,,,0,,,,,,
2023-12-05T00:08:23Z,,,,,,,,,,,,,,0,,,,,
2023-12-05T00:08:24Z,,,,,,,,,,,,,,,,0,,,
2023-12-05T00:11:06Z,,,,,,0,,,,,,,,,,,,,
2023-12-05T00:11:08Z,,,,,,,0,,,,,,,,,,,,
2023-12-05T00:15:18Z,1.111214,,,,,,,,,,,,,,,,,,
2023-12-05T00:15:19Z,,,51.219643,73170,,,,,,,,,,,,,,,
2023-12-05T00:15:21Z,,,,,512454,,,,,,,,,,,,,,
2023-12-05T00:15:24Z,,,,,,,,,,0,,,,,,,,,
2023-12-05T00:15:25Z,,,,,,,,0,,,,,,,,,,,
2023-12-05T00:15:26Z,,,,,,,,,0,,,,,,,,0,,
2023-12-05T00:15:27Z,,,,,,,,,,,,,,,,,,0,
2023-12-05T00:15:28Z,,,,,,,,,,,,,,,,,,,0
2023-12-05T00:15:29Z,,,,,,,,,,,0,0,,,,,,,
2023-12-05T00:15:30Z,,,,,,,,,,,,,0,,,,,,
2023-12-05T00:15:31Z,,,,,,,,,,,,,,0,,,,,
2023-12-05T00:15:33Z,,,,,,,,,,,,,,,,0,,,
2023-12-05T00:18:16Z,,,,,,0,,,,,,,,,,,,,
2023-12-05T00:18:22Z,,,,,,,0,,,,,,,,,,,,
2023-12-05T00:22:26Z,1.287588,,,73156,,,,,,,,,,,,,,,
2023-12-05T00:22:27Z,,,50.718906,,,,,,,,,,,,,,,,
2023-12-05T00:22:28Z,,,,,535321,,,,,,,,,,,,,,
2023-12-05T00:22:32Z,,,,,,,,,,0,,,,,,,,,
2023-12-05T00:22:33Z,,,,,,,,0,,,,,,,,,,,
2023-12-05T00:22:34Z,,,,,,,,,0,,,,,,,,0,,
2023-12-05T00:22:35Z,,,,,,,,,,,,,,,,,,0,
2023-12-05T00:22:36Z,,,,,,,,,,,,,,,,,,,0
2023-12-05T00:22:37Z,,,,,,,,,,,12,2,,,,,,,
2023-12-05T00:22:38Z,,,,,,,,,,,,,0,,,,,,
2023-12-05T00:22:39Z,,,,,,,,,,,,,,0,,,,,
2023-12-05T00:22:40Z,,,,,,,,,,,,,,,,0,,,
2023-12-05T00:25:22Z,,,,,,0,,,,,,,,,,,,,
2023-12-05T00:27:41Z,,,,,,0,,,,,,,,,,,,,
2023-12-05T00:27:43Z,,,,,,,0,,,,,,,,,,,,
2023-12-05T00:29:34Z,1.174658,,,,,,,,,,,,,,,,,,
2023-12-05T00:29:35Z,,,,73131,,,,,,,,,,,,,,,
2023-12-05T00:29:36Z,,,51.591496,,525687,,,,,,,,,,,,,,
2023-12-05T00:29:40Z,,,,,,,,,,0,,,,,,,,,
2023-12-05T00:29:41Z,,,,,,,,0,,,,,,,,,,,
2023-12-05T00:29:42Z,,,,,,,,,0,,,,,,,,,,
2023-12-05T00:29:43Z,,,,,,,,,,,,,,,,,0,0,
2023-12-05T00:29:44Z,,,,,,,,,,,,,,,,,,,0
2023-12-05T00:29:45Z,,,,,,,,,,,6,,,,,,,,
2023-12-05T00:29:46Z,,,,,,,,,,,,2,0,,,,,,
2023-12-05T00:29:47Z,,,,,,,,,,,,,,0,,,,,
2023-12-05T00:29:49Z,,,,,,,,,,,,,,,,0,,,
2023-12-05T00:34:45Z,,,,,,0,,,,,,,,,,,,,
2023-12-05T00:34:47Z,,,,,,,0,,,,,,,,,,,,
2023-12-05T00:36:42Z,1.02271,,,,,,,,,,,,,,,,,,
2023-12-05T00:36:43Z,,,,73130,,,,,,,,,,,,,,,
2023-12-05T00:36:44Z,,,51.07642,,528998,,,,,,,,,,,,,,
2023-12-05T00:36:48Z,,,,,,,,,,0,,,,,,,,,
2023-12-05T00:36:49Z,,,,,,,,0,,,,,,,,,,,
2023-12-05T00:36:50Z,,,,,,,,,0,,,,,,,,,,
2023-12-05T00:36:51Z,,,,,,,,,,,,,,,,,0,,
2023-12-05T00:36:52Z,,,,,,,,,,,,,,,,,,0,0
2023-12-05T00:36:53Z,,,,,,,,,,,6,,,,,,,,
2023-12-05T00:36:54Z,,,,,,,,,,,,0,,,,,,,
2023-12-05T00:36:55Z,,,,,,,,,,,,,0,0,,,,,
2023-12-05T00:36:57Z,,,,,,,,,,,,,,,,0,,,
2023-12-05T00:41:48Z,,,,,,0,,,,,,,,,,,,,
2023-12-05T00:41:50Z,,,,,,,0,,,,,,,,,,,,
2023-12-05T00:43:50Z,1.111214,,,,,,,,,,,,,,,,,,
2023-12-05T00:43:51Z,,,,73142,,,,,,,,,,,,,,,
2023-12-05T00:43:52Z,,,50.790977,,,,,,,,,,,,,,,,
2023-12-05T00:43:53Z,,,,,542672,,,,,,,,,,,,,,
2023-12-05T00:43:57Z,,,,,,,,0,,0,,,,,,,,,
2023-12-05T00:43:58Z,,,,,,,,,0,,,,,,,,,,
2023-12-05T00:43:59Z,,,,,,,,,,,,,,,,,0,,
2023-12-05T00:44:00Z,,,,,,,,,,,,,,,,,,0,0
2023-12-05T00:44:01Z,,,,,,,,,,,6,,,,,,,,
2023-12-05T00:44:02Z,,,,,,,,,,,,2,,,,,,,
2023-12-05T00:44:03Z,,,,,,,,,,,,,0,0,,,,,
